Iteration, Request to decryption time
1, 539375
2, 436232
3, 436779
4, 437256
5, 447980
6, 425341
7, 449672
8, 461466
9, 428023
10, 424438
11, 418979
12, 430657
13, 497387
14, 438491
15, 450526
16, 429214
17, 495855
18, 430826
19, 424705
20, 438993
21, 425015
22, 452240
23, 419146
24, 446221
25, 529402
26, 425245
27, 451707
28, 437174
29, 1187116
30, 441552
31, 420457
32, 424407
33, 425043
34, 427181
35, 447287
36, 425251
37, 498108
38, 426070
39, 426385
40, 430622
41, 452345
42, 419609
43, 442414
44, 1246167
45, 441114
46, 423074
47, 438909
48, 412520
49, 497662
50, 421699
51, 424612
52, 418605
53, 437573
54, 434399
55, 428866
56, 445568
57, 474963
58, 418401
59, 412904
60, 434314
61, 483536
62, 443623
63, 411447
64, 418730
65, 456176
66, 419641
67, 419311
68, 426063
69, 438483
70, 429124
71, 412867
72, 431504
73, 498335
74, 454883
75, 452022
76, 432940
77, 423142
78, 435407
79, 419377
80, 427617
81, 426447
82, 427143
83, 425150
84, 448009
85, 492081
86, 430698
87, 424965
88, 429104
89, 465275
90, 853982
91, 420536
92, 439336
93, 433703
94, 426026
95, 445513
96, 416452
97, 925190
98, 419893
99, 414738
100, 434153
101, 415603
102, 421223
103, 422384
104, 424576
105, 426430
106, 438070
107, 433024
108, 429005
109, 483896
110, 427689
111, 420696
112, 471821
113, 424207
114, 420654
115, 427311
116, 433271
117, 447935
118, 430827
119, 418876
120, 452250
121, 508729
122, 425046
123, 417840
124, 419091
125, 414394
126, 420855
127, 418675
128, 444373
129, 417684
130, 422432
131, 422337
132, 434192
133, 480895
134, 411560
135, 433500
136, 448453
137, 436148
138, 423614
139, 417798
140, 413613
141, 411966
142, 438470
143, 426601
144, 412700
145, 496433
146, 454990
147, 434244
148, 1645221
149, 426959
150, 424929
151, 422140
152, 414662
153, 422846
154, 422397
155, 425320
156, 433109
157, 612223
158, 440389
159, 421116
160, 432416
161, 411147
162, 411384
163, 422359
164, 418318
165, 436952
166, 420601
167, 412263
168, 438380
169, 570698
170, 427284
171, 436779
172, 435388
173, 415469
174, 417703
175, 3368823
176, 463399
177, 459628
178, 423848
179, 433512
180, 427325
181, 497075
182, 468163
183, 420845
184, 442753
185, 418540
186, 438724
187, 421491
188, 435006
189, 432502
190, 424838
191, 425933
192, 429845
193, 486250
194, 422983
195, 443211
196, 423565
197, 460839
198, 432770
199, 435232
200, 421608
201, 435047
202, 420227
203, 422792
204, 412547
205, 474217
206, 446829
207, 426832
208, 421680
209, 419307
210, 437606
211, 429936
212, 418566
213, 421653
214, 418833
215, 431934
216, 437058
217, 490323
218, 437921
219, 425751
220, 427717
221, 422327
222, 413481
223, 425055
224, 426209
225, 421464
226, 420934
227, 1009934
228, 426012
229, 444235
230, 420369
231, 421772
232, 424375
233, 424862
234, 428360
235, 463067
236, 419843
237, 417204
238, 420419
239, 418181
240, 422080
241, 527593
242, 438068
243, 432247
244, 440433
245, 427996
246, 434650
247, 452041
248, 434270
249, 438376
250, 420600
251, 430310
252, 441982
253, 516328
254, 419306
255, 418887
256, 431947
257, 434204
258, 445483
259, 421741
260, 411694
261, 432866
262, 427161
263, 443957
264, 433342
265, 481295
266, 418847
267, 427281
268, 433601
269, 424443
270, 449125
271, 425026
272, 435934
273, 438744
274, 419706
275, 438826
276, 434162
277, 498158
278, 420945
279, 426831
280, 421268
281, 444260
282, 441721
283, 433177
284, 444576
285, 422171
286, 439895
287, 420054
288, 416399
289, 475716
290, 459661
291, 426037
292, 426132
293, 440631
294, 427862
295, 411521
296, 417886
297, 422059
298, 797668
299, 438706
300, 425464
301, 485151
302, 435272
303, 413443
304, 444999
305, 453537
306, 423198
307, 420161
308, 434479
309, 439140
310, 420845
311, 429722
312, 418600
313, 526506
314, 426373
315, 426693
316, 415522
317, 430076
318, 417038
319, 417370
320, 422184
321, 422189
322, 424729
323, 444252
324, 426118
325, 470957
326, 445127
327, 421165
328, 442143
329, 432234
330, 428943
331, 425335
332, 415689
333, 412431
334, 438687
335, 438230
336, 424178
337, 447802
338, 424536
339, 442683
340, 421757
341, 455119
342, 444113
343, 404152
344, 422585
345, 437562
346, 428108
347, 455444
348, 419716
349, 511130
350, 428676
351, 417648
352, 416722
353, 468324
354, 417813
355, 432718
356, 424861
357, 437264
358, 433097
359, 421954
360, 442366
361, 489147
362, 434020
363, 434196
364, 427709
365, 444361
366, 433591
367, 452911
368, 4922452
369, 441486
370, 438977
371, 422522
372, 434127
373, 509755
374, 430534
375, 449142
376, 438166
377, 447040
378, 421743
379, 431494
380, 462527
381, 414486
382, 447582
383, 434544
384, 484693
385, 514786
386, 430297
387, 423237
388, 439912
389, 416840
390, 436902
391, 1083210
392, 424480
393, 428883
394, 443600
395, 421691
396, 423800
397, 510184
398, 431602
399, 433243
400, 420610
401, 430746
402, 414970
403, 444285
404, 430620
405, 420257
406, 425240
407, 449332
408, 424724
409, 488591
410, 422350
411, 443432
412, 416462
413, 443093
414, 434331
415, 428633
416, 421828
417, 428074
418, 435419
419, 428171
420, 430509
421, 496135
422, 427969
423, 430402
424, 428663
425, 453037
426, 431965
427, 417063
428, 433480
429, 419192
430, 429256
431, 419530
432, 445461
433, 444548
434, 426821
435, 424173
436, 420011
437, 12566639
438, 432244
439, 422684
440, 414499
441, 419670
442, 428324
443, 415104
444, 420004
445, 469860
446, 423342
447, 438828
448, 435013
449, 420509
450, 425789
451, 436014
452, 417916
453, 417417
454, 430028
455, 418654
456, 413585
457, 488672
