Iteration, Request to download time, Total length, Trials
1, 25262, 5875584, 0
2, 25318, 5875584, 0
3, 24816, 5875584, 0
4, 25656, 5875584, 0
5, 25429, 5875584, 0
6, 24869, 5875584, 0
7, 24888, 5875584, 0
8, 26733, 5875584, 0
9, 25961, 5875584, 0
10, 25412, 5875584, 0
11, 51869, 5875584, 0
12, 26037, 5875584, 0
13, 32237, 5875584, 0
14, 25212, 5875584, 0
15, 25021, 5875584, 0
16, 26161, 5875584, 0
17, 25036, 5875584, 0
18, 25247, 5875584, 0
19, 25569, 5875584, 0
20, 25155, 5875584, 0
21, 24853, 5875584, 0
22, 25253, 5875584, 0
23, 24998, 5875584, 0
24, 25551, 5875584, 0
25, 25467, 5875584, 0
26, 25096, 5875584, 0
27, 25302, 5875584, 0
28, 25749, 5875584, 0
29, 25515, 5875584, 0
30, 25584, 5875584, 0
31, 25112, 5875584, 0
32, 26371, 5875584, 0
33, 25192, 5875584, 0
34, 25497, 5875584, 0
35, 25410, 5875584, 0
36, 24799, 5875584, 0
37, 26656, 5875584, 0
38, 24896, 5875584, 0
39, 24898, 5875584, 0
40, 25087, 5875584, 0
41, 25058, 5875584, 0
42, 25000, 5875584, 0
43, 25172, 5875584, 0
44, 25246, 5875584, 0
45, 25105, 5875584, 0
46, 25315, 5875584, 0
47, 25083, 5875584, 0
48, 25036, 5875584, 0
49, 24926, 5875584, 0
50, 25183, 5875584, 0
51, 24832, 5875584, 0
52, 61624, 5875584, 0
53, 25281, 5875584, 0
54, 25561, 5875584, 0
55, 25522, 5875584, 0
56, 26024, 5875584, 0
57, 25204, 5875584, 0
58, 25033, 5875584, 0
59, 25049, 5875584, 0
60, 25066, 5875584, 0
61, 26103, 5875584, 0
62, 25736, 5875584, 0
63, 25513, 5875584, 0
64, 26071, 5875584, 0
65, 25154, 5875584, 0
66, 25065, 5875584, 0
67, 25088, 5875584, 0
68, 25031, 5875584, 0
69, 25121, 5875584, 0
70, 25392, 5875584, 0
71, 25217, 5875584, 0
72, 25106, 5875584, 0
73, 25526, 5875584, 0
74, 24975, 5875584, 0
75, 25436, 5875584, 0
76, 25844, 5875584, 0
77, 24668, 5875584, 0
78, 46699, 5875584, 0
79, 25023, 5875584, 0
80, 25430, 5875584, 0
81, 25014, 5875584, 0
82, 25167, 5875584, 0
83, 25141, 5875584, 0
84, 25056, 5875584, 0
85, 25098, 5875584, 0
86, 25025, 5875584, 0
87, 25063, 5875584, 0
88, 25034, 5875584, 0
89, 24981, 5875584, 0
90, 25347, 5875584, 0
91, 24809, 5875584, 0
92, 61144, 5875584, 0
93, 24999, 5875584, 0
94, 25086, 5875584, 0
95, 25495, 5875584, 0
96, 25159, 5875584, 0
97, 25076, 5875584, 0
98, 25056, 5875584, 0
99, 25540, 5875584, 0
100, 25089, 5875584, 0
101, 25410, 5875584, 0
102, 25967, 5875584, 0
103, 25410, 5875584, 0
104, 25436, 5875584, 0
105, 25513, 5875584, 0
106, 25059, 5875584, 0
107, 25365, 5875584, 0
108, 25536, 5875584, 0
109, 25487, 5875584, 0
110, 24985, 5875584, 0
111, 25423, 5875584, 0
112, 25113, 5875584, 0
113, 61269, 5875584, 0
114, 24921, 5875584, 0
115, 25269, 5875584, 0
116, 63703, 5875584, 0
117, 24924, 5875584, 0
118, 24867, 5875584, 0
119, 38758, 5875584, 0
120, 25017, 5875584, 0
121, 25188, 5875584, 0
122, 60724, 5875584, 0
123, 26034, 5875584, 0
124, 25121, 5875584, 0
125, 62489, 5875584, 0
126, 24969, 5875584, 0
127, 25510, 5875584, 0
128, 42937, 5875584, 0
129, 25084, 5875584, 0
130, 25007, 5875584, 0
131, 60878, 5875584, 0
132, 24904, 5875584, 0
133, 25603, 5875584, 0
134, 38221, 5875584, 0
135, 25197, 5875584, 0
136, 25114, 5875584, 0
137, 49796, 5875584, 0
138, 25053, 5875584, 0
139, 25415, 5875584, 0
140, 63415, 5875584, 0
141, 25437, 5875584, 0
142, 25530, 5875584, 0
143, 45529, 5875584, 0
144, 25088, 5875584, 0
145, 25088, 5875584, 0
146, 24913, 5875584, 0
147, 24843, 5875584, 0
148, 25188, 5875584, 0
149, 25152, 5875584, 0
150, 24955, 5875584, 0
